"","LeafLength","ID","Stress","Genotype","Day"
"859",6.4,"173","control","5",4
"860",5.3,"182","control","5",4
"861",3.6,"54","control","6",4
"862",4.6,"155","control","6",4
"863",6.8,"233","control","7",4
"864",6.3,"192","control","7",4
"865",4.5,"137","drought","8",4
"866",6.1,"151","drought","8",4
"867",5,"146","drought","9",4
"868",4.8,"112","drought","9",4
"869",3.7,"130","drought","10",4
"870",6.5,"208","drought","10",4
"871",8.9,"117","drought","11",4
"872",6.8,"30","drought","11",4
"873",7.8,"10","drought","12",4
"874",4.9,"92","drought","12",4
"875",10.2,"21","drought","13",4
"876",3.9,"119","drought","13",4
"877",6,"50","drought","14",4
"878",3.3,"86","drought","14",4
"879",5.5,"115","drought","15",4
"880",6.5,"148","drought","15",4
"881",8.4,"178","drought","16",4
"882",6,"128","drought","16",4
"883",9.2,"123","drought","1",4
"884",6.3,"232","drought","1",4
"885",7.7,"133","drought","17",4
"886",4.7,"226","drought","17",4
"887",6.3,"145","drought","18",4
"888",4.6,"143","drought","18",4
"889",5.3,"81","drought","19",4
"890",4,"196","drought","19",4
"891",5,"43","drought","20",4
"892",6.2,"160","drought","20",4
"893",4.4,"197","drought","21",4
"894",4.6,"238","drought","21",4
"895",4.3,"97","drought","22",4
"896",3.3,"188","drought","22",4
"897",5.5,"102","drought","23",4
"898",5.8,"44","drought","23",4
"899",4.5,"121","drought","24",4
"900",5.8,"218","drought","24",4
"901",8.5,"111","drought","2",4
"902",7.8,"219","drought","2",4
"903",4.3,"118","drought","25",4
"904",5.1,"190","drought","25",4
"905",8,"17","drought","26",4
"906",4.7,"161","drought","26",4
"907",7,"177","drought","27",4
"908",6.8,"183","drought","27",4
"909",5.9,"206","drought","28",4
"910",5.4,"72","drought","28",4
"911",4.9,"82","drought","29",4
"912",8.6,"100","drought","29",4
"913",6.4,"77","drought","30",4
"914",6.4,"11","drought","30",4
"915",3.2,"74","drought","31",4
"916",8.3,"23","drought","31",4
"917",5.7,"22","drought","32",4
"918",4.7,"170","drought","32",4
"919",7.4,"13","drought","33",4
"920",5.9,"94","drought","33",4
"921",4,"194","drought","34",4
"922",5.9,"51","drought","34",4
"923",5.1,"181","drought","3",4
"924",3.4,"228","drought","3",4
"925",4.8,"134","drought","35",4
"926",5.9,"127","drought","35",4
"927",3.5,"209","drought","36",4
"928",5.8,"163","drought","36",4
"929",7.2,"27","drought","37",4
"930",6.1,"203","drought","37",4
"931",5.2,"3","drought","38",4
"932",6.9,"131","drought","38",4
"933",3.7,"150","drought","39",4
"934",3.8,"216","drought","39",4
"935",7.2,"70","drought","40",4
"936",4.7,"99","drought","40",4
"937",6.9,"235","drought","41",4
"938",5,"124","drought","41",4
"939",5.4,"113","drought","42",4
"940",5.4,"141","drought","42",4
"941",6.6,"59","drought","43",4
"942",4.7,"83","drought","43",4
"943",4.5,"136","drought","44",4
"944",5.3,"212","drought","44",4
"945",3.7,"186","drought","45",4
"946",5.8,"20","drought","45",4
"947",4.5,"140","drought","46",4
"948",2.9,"176","drought","46",4
"949",5.6,"225","drought","47",4
"950",5.2,"80","drought","47",4
"951",4.3,"63","drought","48",4
"952",5.3,"147","drought","48",4
"953",5,"9","drought","4",4
"954",4,"79","drought","4",4
"955",7.2,"26","drought","5",4
"956",4.5,"158","drought","5",4
"957",6.6,"37","drought","6",4
"958",7.3,"75","drought","6",4
"959",8,"201","drought","7",4
"960",5,"68","drought","7",4
"962",5.3,"62","control","17",5
"963",7,"35","control","17",5
"964",5.4,"91","control","17",5
"965",5.9,"76","control","17",5
"966",4.7,"108","control","17",5
"967",8.9,"149","control","31",5
"968",10,"237","control","31",5
"969",8.8,"223","control","31",5
"971",5.6,"28","control","31",5
"972",8.1,"240","control","31",5
"975",7,"157","control","48",5
"976",6.4,"122","control","48",5
"977",6.7,"7","control","48",5
"978",4.8,"52","control","48",5
"979",8.6,"57","control","5",5
"980",8.2,"213","control","5",5
"982",6.8,"31","control","5",5
"983",6.6,"187","control","5",5
"984",5.1,"104","control","5",5
"985",4.8,"34","drought","17",5
"986",5.1,"98","drought","17",5
"988",4.7,"171","drought","17",5
"989",4,"48","drought","17",5
"990",3.8,"132","drought","17",5
"991",8.1,"217","drought","31",5
"992",5.4,"230","drought","31",5
"995",8.7,"211","drought","31",5
"996",4.9,"184","drought","31",5
"997",6.2,"153","drought","48",5
"998",4.6,"162","drought","48",5
"999",11.2,"174","drought","48",5
"1000",5.8,"47","drought","48",5
"1003",8.4,"5","drought","5",5
"1004",7.4,"165","drought","5",5
"1005",4.7,"58","drought","5",5
"1007",5.1,"103","drought","5",5
"1008",4.3,"12","drought","5",5
"1009",4.1,"152","control","8",5
"1010",6.9,"180","control","8",5
"1011",6.7,"29","control","9",5
"1012",7,"109","control","9",5
"1013",7.3,"189","control","10",5
"1014",7.5,"227","control","10",5
"1015",8.4,"205","control","11",5
"1016",9.3,"159","control","11",5
"1017",7,"156","control","12",5
"1018",7.3,"168","control","12",5
"1019",4.5,"6","control","13",5
"1020",8.2,"231","control","13",5
"1021",5.8,"16","control","14",5
"1022",6.6,"88","control","14",5
"1023",7.4,"14","control","15",5
"1024",5.4,"64","control","15",5
"1025",6.2,"67","control","16",5
"1026",7.7,"195","control","16",5
"1027",9.2,"53","control","1",5
"1028",5.5,"204","control","1",5
"1029",5.6,"222","control","17",5
"1030",5.7,"175","control","17",5
"1031",7.3,"193","control","18",5
"1032",6.2,"154","control","18",5
"1033",7.3,"85","control","19",5
"1034",5.1,"210","control","19",5
"1035",5.3,"15","control","20",5
"1036",4.6,"36","control","20",5
"1037",5.6,"2","control","21",5
"1038",6.7,"207","control","21",5
"1039",7.9,"46","control","22",5
"1040",4.6,"40","control","22",5
"1041",6.3,"19","control","23",5
"1042",7.7,"55","control","23",5
"1043",8.2,"25","control","24",5
"1044",6.8,"93","control","24",5
"1045",6.4,"101","control","2",5
"1046",8.1,"236","control","2",5
"1047",5.9,"106","control","25",5
"1048",4.8,"116","control","25",5
"1049",7.1,"167","control","26",5
"1050",4.2,"144","control","26",5
"1051",8.3,"1","control","27",5
"1052",6.1,"24","control","27",5
"1053",10.2,"135","control","28",5
"1054",5.7,"4","control","28",5
"1055",8.9,"185","control","29",5
"1056",6.9,"126","control","29",5
"1057",8.3,"105","control","30",5
"1058",5.1,"142","control","30",5
"1059",4.9,"66","control","31",5
"1060",5.4,"200","control","31",5
"1061",8,"69","control","32",5
"1062",6.6,"234","control","32",5
"1063",5.6,"198","control","33",5
"1064",6.1,"84","control","33",5
"1065",7.3,"221","control","34",5
"1066",5.6,"56","control","34",5
"1067",6.3,"172","control","3",5
"1068",4.2,"220","control","3",5
"1069",7.6,"45","control","35",5
"1070",6.6,"8","control","35",5
"1071",6.1,"95","control","36",5
"1072",4,"164","control","36",5
"1073",7.1,"169","control","37",5
"1074",7.3,"78","control","37",5
"1075",6.7,"33","control","38",5
"1076",5.1,"120","control","38",5
"1077",6.9,"129","control","39",5
"1078",8.2,"71","control","39",5
"1079",7.4,"42","control","40",5
"1080",6.4,"114","control","40",5
"1081",4.4,"138","control","41",5
"1082",5.4,"87","control","41",5
"1083",3.9,"125","control","42",5
"1084",5.4,"18","control","42",5
"1085",5.6,"110","control","43",5
"1086",5.3,"107","control","43",5
"1087",7.3,"73","control","44",5
"1088",5,"224","control","44",5
"1089",9.3,"49","control","45",5
"1090",9,"229","control","45",5
"1091",6.5,"215","control","46",5
"1092",7,"32","control","46",5
"1093",5.7,"60","control","47",5
"1094",6.8,"96","control","47",5
"1095",6.2,"61","control","48",5
"1096",5.9,"166","control","48",5
"1097",5.5,"89","control","4",5
"1098",4.8,"90","control","4",5
"1099",7.8,"173","control","5",5
"1100",6.9,"182","control","5",5
"1101",5.3,"54","control","6",5
"1102",6.1,"155","control","6",5
"1103",8.9,"233","control","7",5
"1104",7.9,"192","control","7",5
"1105",5.8,"137","drought","8",5
"1106",7.2,"151","drought","8",5
"1107",6.4,"146","drought","9",5
"1108",6.1,"112","drought","9",5
"1109",4.7,"130","drought","10",5
"1110",7.1,"208","drought","10",5
"1111",9.7,"117","drought","11",5
"1112",8.4,"30","drought","11",5
"1113",8.7,"10","drought","12",5
"1114",6,"92","drought","12",5
"1115",10.3,"21","drought","13",5
"1116",5.1,"119","drought","13",5
"1117",7.3,"50","drought","14",5
"1118",4.3,"86","drought","14",5
"1119",7.4,"115","drought","15",5
"1120",8.3,"148","drought","15",5
"1121",9.5,"178","drought","16",5
"1122",7.4,"128","drought","16",5
"1123",9.5,"123","drought","1",5
"1124",6.9,"232","drought","1",5
"1125",8.7,"133","drought","17",5
"1126",5.7,"226","drought","17",5
"1127",7.3,"145","drought","18",5
"1128",6,"143","drought","18",5
"1129",6.8,"81","drought","19",5
"1130",5.3,"196","drought","19",5
"1131",6.3,"43","drought","20",5
"1132",7.3,"160","drought","20",5
"1133",5.5,"197","drought","21",5
"1134",5.8,"238","drought","21",5
"1135",5.6,"97","drought","22",5
"1136",4.1,"188","drought","22",5
"1137",6.6,"102","drought","23",5
"1138",6.7,"44","drought","23",5
"1139",5.8,"121","drought","24",5
"1140",5.9,"218","drought","24",5
"1141",9.1,"111","drought","2",5
"1142",8.2,"219","drought","2",5
"1143",5.5,"118","drought","25",5
"1144",5.5,"190","drought","25",5
"1145",8.8,"17","drought","26",5
"1146",6.4,"161","drought","26",5
"1147",7.1,"177","drought","27",5
"1148",7.2,"183","drought","27",5
"1149",7.2,"206","drought","28",5
"1150",7.1,"72","drought","28",5
"1151",6.6,"82","drought","29",5
"1152",9.8,"100","drought","29",5
"1153",7.4,"77","drought","30",5
"1154",7,"11","drought","30",5
"1155",4.2,"74","drought","31",5
"1156",9,"23","drought","31",5
"1157",7.4,"22","drought","32",5
"1158",6.6,"170","drought","32",5
"1159",8.8,"13","drought","33",5
"1160",7,"94","drought","33",5
"1161",4.8,"194","drought","34",5
"1162",6.3,"51","drought","34",5
"1163",5.3,"181","drought","3",5
"1164",4.2,"228","drought","3",5
"1165",6.4,"134","drought","35",5
"1166",6.9,"127","drought","35",5
"1167",4,"209","drought","36",5
"1168",6.5,"163","drought","36",5
"1169",8.6,"27","drought","37",5
"1170",6.4,"203","drought","37",5
"1171",6.5,"3","drought","38",5
"1172",8.1,"131","drought","38",5
"1173",5.3,"150","drought","39",5
"1174",5,"216","drought","39",5
"1175",8.7,"70","drought","40",5
"1176",5.5,"99","drought","40",5
"1177",7.4,"235","drought","41",5
"1178",6.1,"124","drought","41",5
"1179",6.4,"113","drought","42",5
"1180",6.6,"141","drought","42",5
"1181",7.5,"59","drought","43",5
"1182",5.9,"83","drought","43",5
"1183",5.7,"136","drought","44",5
"1184",6.2,"212","drought","44",5
"1185",4.8,"186","drought","45",5
"1186",7,"20","drought","45",5
"1187",5.7,"140","drought","46",5
"1188",3.9,"176","drought","46",5
"1189",6.7,"225","drought","47",5
"1190",6.5,"80","drought","47",5
"1191",5.5,"63","drought","48",5
"1192",6.3,"147","drought","48",5
"1193",6.4,"9","drought","4",5
"1194",4.9,"79","drought","4",5
"1195",8,"26","drought","5",5
"1196",5.8,"158","drought","5",5
"1197",7.4,"37","drought","6",5
"1198",8.2,"75","drought","6",5
"1199",8.8,"201","drought","7",5
"1200",6.5,"68","drought","7",5
"1202",7.1,"62","control","17",6
"1203",8.5,"35","control","17",6
"1204",7.4,"91","control","17",6
"1205",7.5,"76","control","17",6
"1206",6.4,"108","control","17",6
"1207",9.7,"149","control","31",6
"1208",11.4,"237","control","31",6
"1209",11.1,"223","control","31",6
"1211",7.2,"28","control","31",6
"1212",10.5,"240","control","31",6
"1215",8.4,"157","control","48",6
"1216",8.1,"122","control","48",6
"1217",8.1,"7","control","48",6
"1218",6,"52","control","48",6
"1219",10.4,"57","control","5",6
"1220",9.5,"213","control","5",6
"1222",9,"31","control","5",6
"1223",8.8,"187","control","5",6
"1224",7,"104","control","5",6
"1225",5.2,"34","drought","17",6
"1226",6.1,"98","drought","17",6
"1228",6.1,"171","drought","17",6
"1229",4.5,"48","drought","17",6
"1230",4.8,"132","drought","17",6
"1231",9.2,"217","drought","31",6
"1232",7.1,"230","drought","31",6
"1235",10.9,"211","drought","31",6
"1236",6.5,"184","drought","31",6
"1237",7.4,"153","drought","48",6
"1238",6.1,"162","drought","48",6
"1239",12.4,"174","drought","48",6
"1240",6.8,"47","drought","48",6
"1243",9.5,"5","drought","5",6
"1244",8.9,"165","drought","5",6
"1245",5.8,"58","drought","5",6
"1247",7,"103","drought","5",6
"1248",5.6,"12","drought","5",6
"1249",5.2,"152","control","8",6
"1250",8.7,"180","control","8",6
"1251",8.1,"29","control","9",6
"1252",7.9,"109","control","9",6
"1253",9.1,"189","control","10",6
"1254",8.8,"227","control","10",6
"1255",10.6,"205","control","11",6
"1256",11.3,"159","control","11",6
"1257",9.1,"156","control","12",6
"1258",9,"168","control","12",6
"1259",6,"6","control","13",6
"1260",10.2,"231","control","13",6
"1261",6.9,"16","control","14",6
"1262",7.6,"88","control","14",6
"1263",9.6,"14","control","15",6
"1264",7.2,"64","control","15",6
"1265",7.9,"67","control","16",6
"1266",9.1,"195","control","16",6
"1267",9.9,"53","control","1",6
"1268",7.1,"204","control","1",6
"1269",7.2,"222","control","17",6
"1270",7.6,"175","control","17",6
"1271",8.6,"193","control","18",6
"1272",8.1,"154","control","18",6
"1273",8.6,"85","control","19",6
"1274",7,"210","control","19",6
"1275",6.9,"15","control","20",6
"1276",6,"36","control","20",6
"1277",7.1,"2","control","21",6
"1278",8.5,"207","control","21",6
"1279",8.9,"46","control","22",6
"1280",5.6,"40","control","22",6
"1281",7.4,"19","control","23",6
"1282",8.5,"55","control","23",6
"1283",9.8,"25","control","24",6
"1284",8.3,"93","control","24",6
"1285",7.7,"101","control","2",6
"1286",9.6,"236","control","2",6
"1287",7.2,"106","control","25",6
"1288",6,"116","control","25",6
"1289",8.2,"167","control","26",6
"1290",5.8,"144","control","26",6
"1291",9.4,"1","control","27",6
"1292",7.8,"24","control","27",6
"1293",13,"135","control","28",6
"1294",7.8,"4","control","28",6
"1295",10.8,"185","control","29",6
"1296",9.1,"126","control","29",6
"1297",9.1,"105","control","30",6
"1298",7.1,"142","control","30",6
"1299",6.4,"66","control","31",6
"1300",7.2,"200","control","31",6
"1301",9.3,"69","control","32",6
"1302",9,"234","control","32",6
"1303",7.5,"198","control","33",6
"1304",7.2,"84","control","33",6
"1305",8.1,"221","control","34",6
"1306",6.9,"56","control","34",6
"1307",7.7,"172","control","3",6
"1308",5.9,"220","control","3",6
"1309",8.4,"45","control","35",6
"1310",7.6,"8","control","35",6
"1311",7.2,"95","control","36",6
"1312",5.3,"164","control","36",6
"1313",8.6,"169","control","37",6
"1314",8.1,"78","control","37",6
"1315",8,"33","control","38",6
"1316",6.6,"120","control","38",6
"1317",8.8,"129","control","39",6
"1318",9.9,"71","control","39",6
"1319",8.9,"42","control","40",6
"1320",7.8,"114","control","40",6
"1321",5.9,"138","control","41",6
"1322",6.5,"87","control","41",6
"1323",4.1,"125","control","42",6
"1324",7,"18","control","42",6
"1325",6.6,"110","control","43",6
"1326",7.2,"107","control","43",6
"1327",8.1,"73","control","44",6
"1328",6.9,"224","control","44",6
"1329",10.8,"49","control","45",6
"1330",10.3,"229","control","45",6
"1331",8.6,"215","control","46",6
"1332",8.3,"32","control","46",6
"1333",7.7,"60","control","47",6
"1334",8.4,"96","control","47",6
"1335",6.8,"61","control","48",6
"1336",7.3,"166","control","48",6
"1337",6.4,"89","control","4",6
"1338",6.3,"90","control","4",6
"1339",9.1,"173","control","5",6
"1340",9.1,"182","control","5",6
"1341",6.8,"54","control","6",6
"1342",7.9,"155","control","6",6
"1343",11,"233","control","7",6
"1344",9.8,"192","control","7",6
"1345",7.1,"137","drought","8",6
"1346",8.6,"151","drought","8",6
"1347",7.7,"146","drought","9",6
"1348",7.5,"112","drought","9",6
"1349",5.8,"130","drought","10",6
"1350",8.2,"208","drought","10",6
"1351",10.9,"117","drought","11",6
"1352",10,"30","drought","11",6
"1353",9.8,"10","drought","12",6
"1354",7.8,"92","drought","12",6
"1355",11,"21","drought","13",6
"1356",7.1,"119","drought","13",6
"1357",8.3,"50","drought","14",6
"1358",5.8,"86","drought","14",6
"1359",9.7,"115","drought","15",6
"1360",10.9,"148","drought","15",6
"1361",10.6,"178","drought","16",6
"1362",8.8,"128","drought","16",6
"1363",10.5,"123","drought","1",6
"1364",7.8,"232","drought","1",6
"1365",8.4,"133","drought","17",6
"1366",6.6,"226","drought","17",6
"1367",9.6,"145","drought","18",6
"1368",7.7,"143","drought","18",6
"1369",8.1,"81","drought","19",6
"1370",6.2,"196","drought","19",6
"1371",8.1,"43","drought","20",6
"1372",8.4,"160","drought","20",6
"1373",6.4,"197","drought","21",6
"1374",7.3,"238","drought","21",6
"1375",7.1,"97","drought","22",6
"1376",5.8,"188","drought","22",6
"1377",7.9,"102","drought","23",6
"1378",7.5,"44","drought","23",6
"1379",7.5,"121","drought","24",6
"1380",6.7,"218","drought","24",6
"1381",10.2,"111","drought","2",6
"1382",9.4,"219","drought","2",6
"1383",7,"118","drought","25",6
"1384",6.1,"190","drought","25",6
"1385",9.4,"17","drought","26",6
"1386",8.1,"161","drought","26",6
"1387",7.8,"177","drought","27",6
"1388",8.2,"183","drought","27",6
"1389",9.3,"206","drought","28",6
"1390",9.3,"72","drought","28",6
"1391",8.4,"82","drought","29",6
"1392",11.2,"100","drought","29",6
"1393",8.8,"77","drought","30",6
"1394",8.7,"11","drought","30",6
"1395",5.7,"74","drought","31",6
"1396",9.9,"23","drought","31",6
"1397",9.3,"22","drought","32",6
"1398",8.7,"170","drought","32",6
"1399",9.6,"13","drought","33",6
"1400",8.1,"94","drought","33",6
"1401",5.6,"194","drought","34",6
"1402",6.9,"51","drought","34",6
"1403",6.8,"181","drought","3",6
"1404",5.6,"228","drought","3",6
"1405",7.6,"134","drought","35",6
"1406",8.3,"127","drought","35",6
"1407",4.9,"209","drought","36",6
"1408",8.5,"163","drought","36",6
"1409",9.8,"27","drought","37",6
"1410",7.3,"203","drought","37",6
"1411",7.7,"3","drought","38",6
"1412",10.3,"131","drought","38",6
"1413",7,"150","drought","39",6
"1414",6.7,"216","drought","39",6
"1415",9.5,"70","drought","40",6
"1416",6.9,"99","drought","40",6
"1417",8.8,"235","drought","41",6
"1418",7,"124","drought","41",6
"1419",7.8,"113","drought","42",6
"1420",7.9,"141","drought","42",6
"1421",8.6,"59","drought","43",6
"1422",7.8,"83","drought","43",6
"1423",7.6,"136","drought","44",6
"1424",7.7,"212","drought","44",6
"1425",6,"186","drought","45",6
"1426",8.4,"20","drought","45",6
"1427",6.9,"140","drought","46",6
"1428",4.9,"176","drought","46",6
"1429",8.6,"225","drought","47",6
"1430",8.3,"80","drought","47",6
"1431",6.8,"63","drought","48",6
"1432",7.6,"147","drought","48",6
"1433",7,"9","drought","4",6
"1434",5.8,"79","drought","4",6
"1435",9.2,"26","drought","5",6
"1436",7.8,"158","drought","5",6
"1437",8.5,"37","drought","6",6
"1438",9.1,"75","drought","6",6
"1439",9.9,"201","drought","7",6
"1440",8.4,"68","drought","7",6
"1442",8.5,"62","control","17",7
"1443",9.2,"35","control","17",7
"1444",8.2,"91","control","17",7
"1445",8.6,"76","control","17",7
"1446",7.1,"108","control","17",7
"1447",10.5,"149","control","31",7
"1448",12.3,"237","control","31",7
"1449",12.5,"223","control","31",7
"1451",7.8,"28","control","31",7
"1452",11.5,"240","control","31",7
"1455",9.3,"157","control","48",7
"1456",8.8,"122","control","48",7
"1457",8.8,"7","control","48",7
"1458",7,"52","control","48",7
"1459",11.8,"57","control","5",7
"1460",10.5,"213","control","5",7
"1462",10,"31","control","5",7
"1463",9.7,"187","control","5",7
"1464",8,"104","control","5",7
"1465",5.9,"34","drought","17",7
"1466",6.9,"98","drought","17",7
"1468",6.6,"171","drought","17",7
"1469",4.8,"48","drought","17",7
"1470",5.3,"132","drought","17",7
"1471",10.3,"217","drought","31",7
"1472",8,"230","drought","31",7
"1475",11.8,"211","drought","31",7
"1476",6.9,"184","drought","31",7
"1477",8.6,"153","drought","48",7
"1478",6.8,"162","drought","48",7
"1479",12.5,"174","drought","48",7
"1480",7.5,"47","drought","48",7
"1483",10.5,"5","drought","5",7
"1484",10.5,"165","drought","5",7
"1485",6.7,"58","drought","5",7
"1487",7.5,"103","drought","5",7
"1488",6.3,"12","drought","5",7
"1489",6,"152","control","8",7
"1490",9.9,"180","control","8",7
"1491",9.4,"29","control","9",7
"1492",8.6,"109","control","9",7
"1493",10,"189","control","10",7
"1494",9.7,"227","control","10",7
"1495",12.7,"205","control","11",7
"1496",12.6,"159","control","11",7
"1497",10.7,"156","control","12",7
"1498",10.8,"168","control","12",7
"1499",7,"6","control","13",7
"1500",11,"231","control","13",7
"1501",8.1,"16","control","14",7
"1502",8.8,"88","control","14",7
"1503",11,"14","control","15",7
"1504",8.4,"64","control","15",7
"1505",8.6,"67","control","16",7
"1506",10.5,"195","control","16",7
"1507",11.3,"53","control","1",7
"1508",8.4,"204","control","1",7
"1509",7.9,"222","control","17",7
"1510",8.3,"175","control","17",7
"1511",10.1,"193","control","18",7
"1512",9,"154","control","18",7
"1513",10.3,"85","control","19",7
"1514",8.3,"210","control","19",7
"1515",8,"15","control","20",7
"1516",6.8,"36","control","20",7
"1517",8.2,"2","control","21",7
"1518",9.4,"207","control","21",7
"1519",9.6,"46","control","22",7
"1520",7,"40","control","22",7
"1521",8.3,"19","control","23",7
"1522",9.3,"55","control","23",7
"1523",10.5,"25","control","24",7
"1524",9.4,"93","control","24",7
"1525",8.5,"101","control","2",7
"1526",10.8,"236","control","2",7
"1527",7.8,"106","control","25",7
"1528",6.8,"116","control","25",7
"1529",8.9,"167","control","26",7
"1530",6.2,"144","control","26",7
"1531",9.8,"1","control","27",7
"1532",8.6,"24","control","27",7
"1533",13,"135","control","28",7
"1534",9.4,"4","control","28",7
"1535",11.9,"185","control","29",7
"1536",10.4,"126","control","29",7
"1537",10.1,"105","control","30",7
"1538",7.6,"142","control","30",7
"1539",7.4,"66","control","31",7
"1540",8.1,"200","control","31",7
"1541",10.4,"69","control","32",7
"1542",10.1,"234","control","32",7
"1543",8.5,"198","control","33",7
"1544",8.3,"84","control","33",7
"1545",9,"221","control","34",7
"1546",7.7,"56","control","34",7
"1547",8.6,"172","control","3",7
"1548",6.7,"220","control","3",7
"1549",9.6,"45","control","35",7
"1550",8.4,"8","control","35",7
"1551",7.8,"95","control","36",7
"1552",6.1,"164","control","36",7
"1553",9.3,"169","control","37",7
"1554",9.1,"78","control","37",7
"1555",9.4,"33","control","38",7
"1556",7.2,"120","control","38",7
"1557",10.4,"129","control","39",7
"1558",11,"71","control","39",7
"1559",9.9,"42","control","40",7
"1560",8.5,"114","control","40",7
"1561",6.5,"138","control","41",7
"1562",7.1,"87","control","41",7
"1563",4.2,"125","control","42",7
"1564",8.1,"18","control","42",7
"1565",7,"110","control","43",7
"1566",7.9,"107","control","43",7
"1567",9,"73","control","44",7
"1568",7.6,"224","control","44",7
"1569",12.1,"49","control","45",7
"1570",11.1,"229","control","45",7
"1571",9,"215","control","46",7
"1572",9.2,"32","control","46",7
"1573",9,"60","control","47",7
"1574",9.3,"96","control","47",7
"1575",7.4,"61","control","48",7
"1576",8.2,"166","control","48",7
"1577",7.4,"89","control","4",7
"1578",7,"90","control","4",7
"1579",9.9,"173","control","5",7
"1580",10.5,"182","control","5",7
"1581",7.8,"54","control","6",7
"1582",8.7,"155","control","6",7
"1583",12.6,"233","control","7",7
"1584",10.8,"192","control","7",7
"1585",7.9,"137","drought","8",7
"1586",9.4,"151","drought","8",7
"1587",8.2,"146","drought","9",7
"1588",8.1,"112","drought","9",7
"1589",6.1,"130","drought","10",7
"1590",8,"208","drought","10",7
"1591",12,"117","drought","11",7
"1592",10.9,"30","drought","11",7
"1593",11.1,"10","drought","12",7
"1594",8.6,"92","drought","12",7
"1595",11.7,"21","drought","13",7
"1596",7.6,"119","drought","13",7
"1597",9.5,"50","drought","14",7
"1598",7.1,"86","drought","14",7
"1599",11.4,"115","drought","15",7
"1600",11.2,"148","drought","15",7
"1601",11.5,"178","drought","16",7
"1602",9.4,"128","drought","16",7
"1603",10.9,"123","drought","1",7
"1604",8.6,"232","drought","1",7
"1605",10.4,"133","drought","17",7
"1606",7.4,"226","drought","17",7
"1607",9.9,"145","drought","18",7
"1608",7.9,"143","drought","18",7
"1609",9.4,"81","drought","19",7
"1610",7.2,"196","drought","19",7
"1611",8.5,"43","drought","20",7
"1612",8.9,"160","drought","20",7
"1613",7.5,"197","drought","21",7
"1614",8,"238","drought","21",7
"1615",8.1,"97","drought","22",7
"1616",6.5,"188","drought","22",7
"1617",8.8,"102","drought","23",7
"1618",8.4,"44","drought","23",7
"1619",8.5,"121","drought","24",7
"1620",7.4,"218","drought","24",7
"1621",9.9,"111","drought","2",7
"1622",9.8,"219","drought","2",7
"1623",7.6,"118","drought","25",7
"1624",6.6,"190","drought","25",7
"1625",9.8,"17","drought","26",7
"1626",9.5,"161","drought","26",7
"1627",8,"177","drought","27",7
"1628",9,"183","drought","27",7
"1629",10.3,"206","drought","28",7
"1630",10.6,"72","drought","28",7
"1631",9.1,"82","drought","29",7
"1632",12.2,"100","drought","29",7
"1633",10.2,"77","drought","30",7
"1634",9.1,"11","drought","30",7
"1635",6.5,"74","drought","31",7
"1636",10.5,"23","drought","31",7
"1637",10.3,"22","drought","32",7
"1638",9.1,"170","drought","32",7
"1639",10.7,"13","drought","33",7
"1640",8.9,"94","drought","33",7
"1641",6.3,"194","drought","34",7
"1642",7.7,"51","drought","34",7
"1643",7.4,"181","drought","3",7
"1644",6.3,"228","drought","3",7
"1645",8.8,"134","drought","35",7
"1646",8.8,"127","drought","35",7
"1647",5.5,"209","drought","36",7
"1648",8.7,"163","drought","36",7
"1649",10.4,"27","drought","37",7
"1650",7.6,"203","drought","37",7
"1651",8.2,"3","drought","38",7
"1652",10.8,"131","drought","38",7
"1653",8.1,"150","drought","39",7
"1654",7.4,"216","drought","39",7
"1655",10.2,"70","drought","40",7
"1656",7,"99","drought","40",7
"1657",8.9,"235","drought","41",7
"1658",8.1,"124","drought","41",7
"1659",9.1,"113","drought","42",7
"1660",8.6,"141","drought","42",7
"1661",9.2,"59","drought","43",7
"1662",7.8,"83","drought","43",7
"1663",8.1,"136","drought","44",7
"1664",7.8,"212","drought","44",7
"1665",6.8,"186","drought","45",7
"1666",8.9,"20","drought","45",7
"1667",7,"140","drought","46",7
"1668",4.9,"176","drought","46",7
"1669",9.9,"225","drought","47",7
"1670",9.2,"80","drought","47",7
"1671",7.2,"63","drought","48",7
"1672",8,"147","drought","48",7
"1673",8.1,"9","drought","4",7
"1674",6.8,"79","drought","4",7
"1675",10.1,"26","drought","5",7
"1676",8.8,"158","drought","5",7
"1677",9.6,"37","drought","6",7
"1678",9.5,"75","drought","6",7
"1679",10.5,"201","drought","7",7
"1680",8.9,"68","drought","7",7
"1682",9.7,"62","control","17",8
"1683",10.2,"35","control","17",8
"1684",9.4,"91","control","17",8
"1685",10,"76","control","17",8
"1686",8.6,"108","control","17",8
"1687",11,"149","control","31",8
"1688",12.9,"237","control","31",8
"1689",14,"223","control","31",8
"1691",8.9,"28","control","31",8
"1692",13.2,"240","control","31",8
"1695",10.2,"157","control","48",8
"1696",10,"122","control","48",8
"1697",9.8,"7","control","48",8
"1698",7.7,"52","control","48",8
"1699",13.4,"57","control","5",8
"1700",12.1,"213","control","5",8
"1702",11.6,"31","control","5",8
"1703",11.7,"187","control","5",8
"1704",9.4,"104","control","5",8
"1705",6.9,"34","drought","17",8
"1706",7.4,"98","drought","17",8
"1708",7.6,"171","drought","17",8
"1709",5.4,"48","drought","17",8
"1710",6.1,"132","drought","17",8
